Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	vol. depol 1064	error	partdepol height	part. depol 355	error	part. depol 1064	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)
0.995347	3.583674	0.537551	2.236381	0.335457	0.727600	0.109140	94.795178	-45.591725	25.898947	-3.010969	26.451954	13.326450	11.580743	2.197780	3.207500	3.923302	1.165636	0.611256	1.619948	0.495772	0.995347	0.006974	0.000697	0.995347	0.008007	0.000801	0.995347	288.621185	93676.867187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.995347	4.829620	0.756260	NaN	NaN	-59.632866	-0.009775	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.025233	3.014004	0.452101	1.920879	0.288132	0.658984	0.098848	84.006796	-45.867493	22.962613	-3.597918	27.872156	15.781971	11.954221	2.593004	3.206299	4.502284	1.113617	0.583977	1.543452	0.472361	1.025233	0.006898	0.000690	1.025233	0.008043	0.000804	1.025233	288.745117	93346.328125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.025233	4.806999	0.786146	NaN	NaN	-59.613582	-0.009750	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.055119	2.733366	0.410005	1.751038	0.262656	0.621254	0.093188	83.124224	-45.834575	23.504011	-3.527938	30.410938	17.377938	13.422901	2.848371	3.122583	4.411194	1.100857	0.577286	1.494954	0.457519	1.055119	0.006761	0.000676	1.055119	0.007906	0.000791	1.055119	288.869080	93015.796875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.055119	4.791791	0.816032	NaN	NaN	-59.553712	-0.009714	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.085004	2.612822	0.391923	1.678698	0.251805	0.610656	0.091598	83.303852	-45.675269	28.376923	-2.862127	31.882712	18.123571	16.904123	3.055532	2.662176	3.668876	1.093657	0.573510	1.458910	0.446488	1.085004	0.006693	0.000669	1.085004	0.007829	0.000783	1.085004	288.873138	92684.726562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.085004	4.775721	0.845918	NaN	NaN	-59.479702	-0.009684	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.114890	2.599831	0.389975	1.672904	0.250936	0.618982	0.092847	85.499219	-45.341339	39.914448	-1.332142	32.886452	18.124337	23.859377	3.666425	1.883116	2.473555	1.089882	0.571531	1.434384	0.438982	1.114890	0.006620	0.000662	1.114890	0.007696	0.000770	1.114890	288.642975	92357.289062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.114890	4.774872	0.875804	NaN	NaN	-59.418256	-0.009662	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.144776	2.596375	0.389456	1.690860	0.253629	0.633670	0.095051	86.555009	-45.206622	42.374802	-1.337910	33.336863	18.115280	25.061088	3.841536	1.765589	2.283734	1.060202	0.555967	1.415953	0.433341	1.144776	0.006539	0.000654	1.144776	0.007534	0.000753	1.144776	288.401733	92035.648437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.144776	4.760033	0.905689	NaN	NaN	-59.396348	-0.009631	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.174662	2.642824	0.396424	1.713204	0.256981	0.650584	0.097588	89.406919	-44.875642	42.526873	-1.322418	33.830067	17.722227	24.823001	3.802618	1.836872	2.283517	1.071582	0.561934	1.396890	0.427507	1.174662	0.006456	0.000646	1.174662	0.007370	0.000737	1.174662	288.160492	91714.007812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.174662	4.759907	0.935575	NaN	NaN	-59.441194	-0.009579	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.204548	2.662161	0.399324	1.753630	0.263045	0.670140	0.100521	92.369458	-44.713479	43.557750	-1.244803	34.697178	17.583830	24.838614	3.792810	1.858247	2.227527	1.031949	0.541151	1.387810	0.424728	1.204548	0.006348	0.000635	1.204548	0.007155	0.000715	1.204548	287.919281	91392.367187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.204548	4.759958	0.965461	NaN	NaN	-59.580278	-0.009532	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.234434	2.692779	0.403917	1.789184	0.268378	0.687791	0.103169	92.279375	-44.562231	50.167922	-0.876463	34.269197	17.328760	28.039562	4.234366	1.506566	1.799652	1.010602	0.529956	1.379259	0.422111	1.234434	0.006252	0.000625	1.234434	0.006969	0.000697	1.234434	287.678040	91070.726562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.234434	4.746728	0.995347	NaN	NaN	-59.818924	-0.009484	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.264319	2.708444	0.406267	1.821897	0.273284	0.705693	0.105854	95.238885	-44.619105	52.462731	-1.080143	35.163687	17.297860	28.795669	4.359849	1.474036	1.708785	0.980151	0.513988	1.368329	0.418766	1.264319	0.006139	0.000614	1.264319	0.006756	0.000676	1.264319	287.436798	90749.085937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.264319	4.740983	1.025233	NaN	NaN	-60.169937	-0.009395	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.294205	2.747275	0.412091	1.851425	0.277714	0.725052	0.108758	103.761558	-43.235780	59.541918	-0.783140	37.768901	16.726360	32.160051	4.842517	1.373003	1.414974	0.975597	0.511600	1.352479	0.413915	1.294205	0.006062	0.000606	1.294205	0.006613	0.000661	1.294205	287.195587	90427.437500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.294205	4.733172	1.055119	NaN	NaN	-60.602631	-0.009312	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.324091	2.762921	0.414438	1.870830	0.280625	0.737865	0.110680	99.435688	-42.868259	66.488793	-0.423562	35.989332	16.427879	35.539726	5.335764	0.994937	1.060451	0.963860	0.505445	1.342250	0.410785	1.324091	0.005946	0.000595	1.324091	0.006406	0.000641	1.324091	286.954346	90105.796875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.324091	4.715120	1.085004	NaN	NaN	-61.086367	-0.009250	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
