Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.519281	2.762662	0.414399	2.181907	0.327286	1.373277	0.205992	-1311.725639	482.366995	-1299.305378	489.314960	-474.804995	-188.569201	-595.490781	-241.394631	0.023518	0.030601	0.583388	0.305927	0.667966	0.204426	0.519281	0.142127	0.014213	0.519281	0.237241	0.023724	153.179199	299.572662	90019.789062	0.519281	0.031810	0.003181	0.519281	0.094523	0.009452	0.000000	0.000000	0.519281	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.382802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007053	0.001323	0.000080
0.526752	2.757925	0.413689	2.177432	0.326615	1.370672	0.205601	-1213.163303	445.320937	-1197.161601	449.185532	-439.882586	-174.430758	-549.804245	-222.165562	0.032823	0.042591	0.584221	0.306364	0.667745	0.204358	0.526752	0.141686	0.014169	0.526752	0.236529	0.023653	160.650665	299.522797	89941.867187	0.526752	0.031703	0.003170	0.526752	0.094190	0.009419	0.000000	0.000000	0.526752	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.378313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007048	0.001322	0.000080
0.534224	2.751345	0.412702	2.172155	0.325823	1.367778	0.205167	-1121.565194	411.664964	-1102.554338	412.412128	-407.642523	-161.635311	-507.585512	-204.560451	0.042261	0.054748	0.584314	0.306413	0.667293	0.204220	0.534224	0.141255	0.014126	0.534224	0.235838	0.023584	168.122131	299.473602	89865.000000	0.534224	0.031603	0.003160	0.534224	0.093887	0.009389	0.000000	0.000000	0.534224	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.374184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007043	0.001321	0.000080
0.541695	2.745635	0.411845	2.167150	0.325073	1.364805	0.204721	-1036.168076	381.019787	-1015.074502	379.169768	-377.387402	-149.874617	-468.391333	-188.542073	0.050843	0.065880	0.584881	0.306710	0.667104	0.204162	0.541695	0.140811	0.014081	0.541695	0.235128	0.023513	175.593582	299.424408	89788.132812	0.541695	0.031512	0.003151	0.541695	0.093621	0.009362	0.000000	0.000000	0.541695	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.370361	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007038	0.001321	0.000080
0.549167	2.740504	0.411076	2.162272	0.324341	1.361810	0.204272	-956.614130	353.084183	-933.808416	349.244995	-349.065006	-139.072157	-431.864467	-174.023975	0.059647	0.077479	0.585828	0.307206	0.667022	0.204137	0.549167	0.140378	0.014038	0.549167	0.234440	0.023444	183.065048	299.375214	89711.265625	0.549167	0.031427	0.003143	0.549167	0.093382	0.009338	0.000000	0.000000	0.549167	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.365978	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007034	0.001320	0.000080
0.556638	2.735657	0.410348	2.156530	0.323480	1.358466	0.203770	-882.329695	327.420394	-859.659652	322.178230	-322.529399	-129.094375	-398.630887	-160.918395	0.064345	0.083891	0.588024	0.308358	0.666733	0.204048	0.556638	0.139937	0.013994	0.556638	0.233739	0.023374	190.536499	299.326019	89634.398437	0.556638	0.031350	0.003135	0.556638	0.093176	0.009318	0.000000	0.000000	0.556638	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.361492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007029	0.001319	0.000080
0.564110	2.730749	0.409612	2.151097	0.322665	1.355134	0.203270	-813.073003	303.948541	-790.521231	297.579854	-297.747215	-119.932095	-367.496812	-148.917084	0.069534	0.091191	0.589822	0.309301	0.666637	0.204019	0.564110	0.139496	0.013950	0.564110	0.233044	0.023304	198.007965	299.276825	89557.531250	0.564110	0.031284	0.003128	0.564110	0.093017	0.009302	0.000000	0.000000	0.564110	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.356797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007024	0.001318	0.000080
0.571581	2.726934	0.409040	2.145827	0.321874	1.351813	0.202772	-748.032037	282.358102	-726.353919	275.438787	-274.312476	-111.420188	-338.496084	-138.037631	0.072699	0.096156	0.592430	0.310668	0.666638	0.204019	0.571581	0.139052	0.013905	0.571581	0.232346	0.023235	205.479431	299.227631	89480.664062	0.571581	0.031222	0.003122	0.571581	0.092880	0.009288	0.000000	0.000000	0.571581	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.352568	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007019	0.001317	0.000080
0.579052	2.722236	0.408335	2.140351	0.321053	1.348398	0.202260	-687.715411	262.514191	-667.134565	255.403806	-252.628833	-103.611571	-311.693982	-128.160508	0.075109	0.100378	0.594484	0.311745	0.666601	0.204008	0.579052	0.138596	0.013860	0.579052	0.231626	0.023163	212.950882	299.178436	89403.796875	0.579052	0.031160	0.003116	0.579052	0.092740	0.009274	0.000000	0.000000	0.579052	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.347086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007014	0.001316	0.000080
0.586524	2.716123	0.407418	2.134800	0.320220	1.344920	0.201738	-631.000432	244.206671	-611.554486	236.933960	-232.316607	-96.426969	-286.469239	-119.014525	0.077381	0.104752	0.595345	0.312197	0.666581	0.204002	0.586524	0.138147	0.013815	0.586524	0.230924	0.023092	220.422348	299.129242	89326.929687	0.586524	0.031101	0.003110	0.586524	0.092615	0.009262	0.000000	0.000000	0.586524	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.341486	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007009	0.001315	0.000080
0.593995	2.708786	0.406318	2.129490	0.319424	1.341572	0.201236	-578.269526	227.397789	-559.356731	220.064694	-213.479255	-89.848254	-262.671646	-110.597836	0.082202	0.113034	0.594814	0.311919	0.666584	0.204003	0.593995	0.137700	0.013770	0.593995	0.230231	0.023023	227.893814	299.080048	89250.062500	0.593995	0.031041	0.003104	0.593995	0.092490	0.009249	0.000000	0.000000	0.593995	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.337275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007004	0.001314	0.000080
0.601467	2.702061	0.405309	2.123629	0.318544	1.338100	0.200715	-528.782736	211.677719	-510.715509	204.607115	-195.696097	-83.658458	-240.491858	-102.879674	0.085940	0.120319	0.595483	0.312270	0.666346	0.203930	0.601467	0.137291	0.013729	0.601467	0.229609	0.022961	235.365265	299.030853	89173.195312	0.601467	0.030978	0.003098	0.601467	0.092355	0.009236	0.000000	0.000000	0.601467	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.334139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006999	0.001313	0.000079
