Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	vol. depol 1064	error	partdepol height	part. depol 355	error	part. depol 1064	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)
0.666603	2.347768	0.000000	1.777188	0.000000	0.798100	0.000000	129.127238	0.000000	97.745349	0.000000	55.000000	0.000000	55.000000	0.000000	0.688294	0.000000	0.688294	0.000000	1.154955	0.000000	0.666603	0.008493	0.000849	0.666603	0.011196	0.001120	0.666603	290.272705	93727.140625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.666603	NaN	0.756260	NaN	NaN	-59.632866	-0.009775	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.696489	1.912481	0.000000	1.564594	0.000000	0.712921	0.000000	105.186445	0.000000	86.052679	0.000000	55.000000	0.000000	55.000000	0.000000	0.496321	0.000000	0.496321	0.000000	1.133974	0.000000	0.696489	0.006950	0.000695	0.696489	0.008490	0.000849	0.696489	290.240051	93400.515625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.696489	NaN	0.786146	NaN	NaN	-59.613582	-0.009750	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.726374	1.680609	0.000000	1.436394	0.000000	0.672054	0.000000	92.433484	0.000000	79.001650	0.000000	55.000000	0.000000	55.000000	0.000000	0.388160	0.000000	0.388160	0.000000	1.095803	0.000000	0.726374	0.006591	0.000659	0.726374	0.007812	0.000781	0.726374	290.207397	93073.898437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.726374	NaN	0.816032	NaN	NaN	-59.553712	-0.009714	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.756260	1.552226	0.000000	1.302340	0.000000	0.631792	0.000000	85.372409	0.000000	71.628712	0.000000	55.000000	0.000000	55.000000	0.000000	0.433908	0.000000	0.433908	0.000000	1.043584	0.000000	0.756260	0.007113	0.000711	0.756260	0.009078	0.000908	0.756260	290.174713	92747.273437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.756260	NaN	0.845918	NaN	NaN	-59.479702	-0.009684	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.786146	1.438737	0.000000	1.194936	0.000000	0.598593	0.000000	79.130534	0.000000	65.721476	0.000000	55.000000	0.000000	55.000000	0.000000	0.458990	0.000000	0.458990	0.000000	0.997285	0.000000	0.786146	0.007455	0.000746	0.786146	0.010172	0.001017	0.786146	290.083771	92421.960937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.786146	NaN	0.875804	NaN	NaN	-59.418256	-0.009662	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.816032	1.428619	0.000000	1.123832	0.000000	0.570458	0.000000	78.574072	0.000000	61.810754	0.000000	55.000000	0.000000	55.000000	0.000000	0.593199	0.000000	0.593199	0.000000	0.978232	0.000000	0.816032	0.008055	0.000806	0.816032	0.011363	0.001136	0.816032	289.811218	92100.710937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.816032	NaN	0.905689	NaN	NaN	-59.396348	-0.009631	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.845918	1.396412	0.000000	1.131501	0.000000	0.565416	0.000000	76.802659	0.000000	62.232556	0.000000	55.000000	0.000000	55.000000	0.000000	0.520019	0.000000	0.520019	0.000000	1.000853	0.000000	0.845918	0.007826	0.000783	0.845918	0.011083	0.001108	0.845918	289.538635	91779.460937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.845918	NaN	0.935575	NaN	NaN	-59.441194	-0.009579	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.875804	1.407866	0.000000	1.139195	0.000000	0.571438	0.000000	77.432640	0.000000	62.655722	0.000000	55.000000	0.000000	55.000000	0.000000	0.523461	0.000000	0.523461	0.000000	0.995347	0.000000	0.875804	0.007641	0.000764	0.875804	0.010510	0.001051	0.875804	289.266052	91458.210937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.875804	NaN	0.965461	NaN	NaN	-59.580278	-0.009532	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.905689	1.413800	0.000000	1.182557	0.000000	0.582884	0.000000	77.759007	0.000000	65.040650	0.000000	55.000000	0.000000	55.000000	0.000000	0.441509	0.000000	0.441509	0.000000	1.020629	0.000000	0.905689	0.007382	0.000738	0.905689	0.009811	0.000981	0.905689	288.993500	91136.968750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.905689	NaN	0.995347	NaN	NaN	-59.818924	-0.009484	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.935575	1.476393	0.000000	1.198623	0.000000	0.591011	0.000000	81.201589	0.000000	65.924253	0.000000	55.000000	0.000000	55.000000	0.000000	0.515241	0.000000	0.515241	0.000000	1.020120	0.000000	0.935575	0.007351	0.000735	0.935575	0.009691	0.000969	0.935575	288.720917	90815.718750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.935575	NaN	1.025233	NaN	NaN	-60.169937	-0.009395	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.965461	1.488964	0.000000	1.227153	0.000000	0.599304	0.000000	81.893044	0.000000	67.493404	0.000000	55.000000	0.000000	55.000000	0.000000	0.478052	0.000000	0.478052	0.000000	1.033955	0.000000	0.965461	0.007334	0.000733	0.965461	0.009706	0.000971	0.965461	288.448334	90494.468750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.965461	NaN	1.055119	NaN	NaN	-60.602631	-0.009312	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.995347	1.625351	0.000000	1.263180	0.000000	0.611574	0.000000	89.394307	0.000000	69.474881	0.000000	55.000000	0.000000	55.000000	0.000000	0.623179	0.000000	0.623179	0.000000	1.046462	0.000000	0.995347	0.006721	0.000672	0.995347	0.008253	0.000825	0.995347	288.175751	90173.218750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.995347	NaN	1.085004	NaN	NaN	-61.086367	-0.009250	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.025233	1.700264	0.000000	1.300400	0.000000	0.622758	0.000000	93.514532	0.000000	71.521983	0.000000	55.000000	0.000000	55.000000	0.000000	0.662781	0.000000	0.662781	0.000000	1.062212	0.000000	1.025233	0.006359	0.000636	1.025233	0.007458	0.000746	1.025233	287.903198	89851.968750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.025233	NaN	1.114890	NaN	NaN	-61.590538	-0.009216	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
